Architecture    Offer                   Publisher    Sku                              Urn                                                                         Version
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202512181                     24.04.202512181
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202601300                     24.04.202601300
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202603310                     24.04.202603310
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202604160                     24.04.202604160
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202404230                           24.04.202404230
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202406170                           24.04.202406170
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202407011                           24.04.202407011
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202407100                           24.04.202407100
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202407160                           24.04.202407160
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202408060                           24.04.202408060
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202408090                           24.04.202408090
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202408210                           24.04.202408210
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202409040                           24.04.202409040
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202409120                           24.04.202409120
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202409260                           24.04.202409260
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202410110                           24.04.202410110
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202410170                           24.04.202410170
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202411030                           24.04.202411030
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202501090                           24.04.202501090
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202502040                           24.04.202502040
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202502210                           24.04.202502210
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202504080                           24.04.202504080
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202505020                           24.04.202505020
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202505090                           24.04.202505090
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202505210                           24.04.202505210
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202506060                           24.04.202506060
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202507010                           24.04.202507010
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202507080                           24.04.202507080
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202508010                           24.04.202508010
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202508210                           24.04.202508210
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202508220                           24.04.202508220
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202509100                           24.04.202509100
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202509120                           24.04.202509120
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202509160                           24.04.202509160
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202509170                           24.04.202509170
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202510010                           24.04.202510010
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202510140                           24.04.202510140
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202510210                           24.04.202510210
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202512181                           24.04.202512181
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202601300                           24.04.202601300
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202603120                           24.04.202603120
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202603290                           24.04.202603290
x64             ubuntu-24_04-lts        Canonical    server                           Canonical:ubuntu-24_04-lts:server:24.04.202604160                           24.04.202604160
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202404230                     24.04.202404230
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202406170                     24.04.202406170
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202407011                     24.04.202407011
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202407100                     24.04.202407100
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202407160                     24.04.202407160
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202408060                     24.04.202408060
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202408090                     24.04.202408090
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202408210                     24.04.202408210
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202409040                     24.04.202409040
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202409120                     24.04.202409120
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202409260                     24.04.202409260
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202410040                     24.04.202410040
